CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,BEL,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,580808350,663999268,713931458,987577942,1130499146,1280031494,1187483032,994580750,892699219,793433411,779245667,986456299,1276381836,1380126343,1508718384,2309630859,2432428223,2896886230,3029477295,3659792236,3251686279,3418260742,3125033203,3347351807,3653230957,3587770752,3905530518,1627045537,2095517461,2340523620,2427151797,2563596831,3202189117,4124201784,4479408131,4184879038,4556454347,4238761226,4488287970,4501043998,4395052607,4514158284,4700122172
Benin,BEN,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,2687941,2664329,1330820,1208891,1511151,1842784,2120413,1898934,23773132,22295349,28693920,11129339,2887620,3327382,15516964,15151330,20687582,20727603,21149125,21458697,23251785,26484507,33615323,17064455,29877018,5934717,8879509,10258670,6617042,5235716,5627646,33528091,60790976,107545530,74313554,69946969,63378672,61551231,87746952,101033795,144171267,98142622,88066551,
Burkina Faso,BFA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,13680665,31015398,30261498,40516171,34348766,39394203,51931194,45419842,35510586,39783131,35529839,40757866,49268581,58355629,56955185,56073776,80855110,70661156,70100395,61805485,50952377,49878166,48803951,47729740,46655525,45581314,44507103,44031792,50096973,77183373,79165634,83826863,86077360,93198614,99612498,99308262,111787944,41982248,71424215,148910927,160341024,180630966,187912974,
Bangladesh,BGD,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,720443,517299,266492,195130,392002,223067,133172,162511,196471,415306,,,,,,,,,,,790507,1714250,2557266,3704857,4378217,3699707,5734841,7068562,7743208,4963747,3322210,2809832,14330657,7791556,9418584,11612732,11741740,19553597,32521361,32102747,41213541,45795592
Bulgaria,BGR,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33500000,15500000,3420339,3817230,25957719,26957169,14492716,12586214,29436635,35452285,49577453,102605422,161810952,101249929,90350000,104540000,107090000,161950000,169060000,150830000,166700000,198720000
Bahrain,BHR,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,263463959,292467743,347529388,448570160,322574310,329973267,367287231,372872345,345478729,384042542,778457459,716223389,672074463,668617004,693882996,332180851,369148936,335638298,395744692,430585146,499734081,559308559,634840485,725000072,856171707,1012681830,1286918851,871542553,1082180851,1119946809,1223404255,1530851064,1482771277,1774489021,1390957447,1641755319,2050000000,2074468085,2165957447,2364361702,2367287234,2391489362,2465957447
"Bahamas, The",BHS,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,26500000,29200001,38900002,27200001,41700001,30500000,35200001,26700001,32400002,33700001,32200001,39500000,47400002,39700001,38700000,49500000,28800000,27300000,28000000,31700000,33200000,36800000,39300000,47100000,56170000,53620000,57669730,62750000,71390000,83964350,100290000,94990000,65924820,63340000,88040000,119727000,139704000,138725000,150819241,178800141,193848518,262328167
Bosnia and Herzegovina,BIH,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350912,10807341,14009276,20021614,62067341,39993450,54510131,65397819,55292739,55055852,46440159,51680114,46846961,48445049,46847045,55544289,60512503,63528251
Belarus,BLR,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000,17000000,11900000,35600000,25700000,19900000,4800000,9600000,33200000,48800000,28100000,47100000,52200000,70400000,103200000,171000000,133000000,115700000,133800000,141700000,150800000,181200000,162300000,123800000,137800000
Belize,BLZ,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,6800000,6400000,4650000,5350000,6000000,6000000,7150000,5700000,6000000,6000000,6568500,6881500,6875000,7550000,6900000,5972125,6435359,16029825,16651089,19749509,18013818,19332238,20608628,21454975,27977571,22508922,21991808,23529361,26326846,31523218,33269798,41161361,45202221,45607620
Bermuda,BMU,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171580000,177947228,190915102,212564001,238623066,215424494,217148646,218784177,224147087,186973110,213856868,218383822
Bolivia,BOL,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,1800000,2000000,2200000,2000000,2400000,2200000,2300000,2300000,2200000,3300000,5100000,4200000,7100000,7700000,7700000,8600000,8900000,9500000,9800000,9200000,13000000,12000000,15100000,32100000,37000000,36380000,37880000,45781410,50586783,66719820,73240336,78912289,105883450,103470000,101784072,117258564,147112672,172158814,180137044,210175744,229382403,252197218
Brazil,BRA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,108000000,103000000,114000000,147000000,27000000,152000000,154000000,168000000,19000000,5000000,6000000,10000000,10000000,7000000,9000000,11000000,21000000,34000000,198000000,250000000,336000000,396000000,361000000,359000000,308000000,338325000,344833000,329421000,295980000,339493000,373953000,529306000,562634000,813083000,730896100,1023656775,1123817122,1063670887,1150189008,1538775897,1339086890,1385076006,2238140844
Barbados,BRB,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,550000,354453,416389,816651,438334,396262,100000,650000,650000,750000,700000,800000,550000,500000,850000,750000,800000,4500000,3650000,7000000,6250000,7700000,8800000,9550000,11250000,15450000,20350000,16250000,17700000,18950000,19150000,20300000,20134500,21713000,18250000,40794147,35778093,55286713,39018967,37170016,34807275,56726262,36325463,46365999,,,,
Brunei Darussalam,BRN,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89225732,96975674,353781660,375574679,405466494,430285347,420360159,444817439,,,,,,,,
